"","tconst","collabdens","collabcentr"
"228","tt0015783","0","0"
"229","tt0015792","0","0"
"230","tt0015804","0","0"
"231","tt0015810","0","0"
"232","tt0015811","0","0"
"233","tt0015833","0","0"
"234","tt0015856","0","0"
"235","tt0015861","0","0"
"236","tt0015873","0","0"
"237","tt0015880","0","0"
"238","tt0015882","0","0"
"239","tt0015889","0","0"
"240","tt0015897","0","0"
"241","tt0015899","0","0"
"242","tt0015903","0","0"
"243","tt0015904","0","0"
"244","tt0015906","0","0"
"245","tt0015918","0","0"
"246","tt0015921","0","0"
"247","tt0015923","0","0"
"248","tt0015930","0","0"
"249","tt0015934","0","0"
"250","tt0015936","0","0"
"251","tt0015948","0","0"
"252","tt0015953","0","0"
"253","tt0015954","0","0"
"254","tt0015956","0","0"
"255","tt0015973","0","0"
"256","tt0015978","0","0"
"257","tt0015979","0","0"
"258","tt0015983","0","0"
"259","tt0016004","0","0"
"260","tt0016022","0","0"
"261","tt0016024","0","0"
"262","tt0016025","0","0"
"263","tt0016030","0","0"
"264","tt0016037","0","0"
"265","tt0016045","0","0"
"266","tt0016053","0","0"
"267","tt0016081","0","0"
"268","tt0016094","0","0"
"269","tt0016107","0","0"
"270","tt0016127","0","0"
"271","tt0016148","0","0"
"272","tt0016157","0","0"
"273","tt0016163","0","0"
"274","tt0016177","0","0"
"275","tt0016178","0","0"
"276","tt0016211","0","0"
"277","tt0016225","0","0"
"278","tt0016227","0","0"
"279","tt0016230","0","0"
"280","tt0016236","0","0"
"281","tt0016246","0","0"
"282","tt0016247","0","0"
"283","tt0016263","0","0"
"284","tt0016266","0","0"
"285","tt0016268","0","0"
"286","tt0016275","0","0"
"287","tt0016294","0","0"
"288","tt0016309","0","0"
"289","tt0016318","0","0"
"290","tt0016324","0","0"
"291","tt0016334","0","0"
"292","tt0016348","0","0"
"293","tt0016353","0","0"
"294","tt0016362","0","0"
"295","tt0016375","0","0"
"296","tt0016384","0","0"
"297","tt0016394","0","0"
"298","tt0016403","0","0"
"299","tt0016406","0","0"
"300","tt0016407","0","0"
"301","tt0016417","0","0"
"302","tt0016433","0","0"
"303","tt0016436","0","0"
"304","tt0016440","0","0"
"305","tt0016449","0","0"
"306","tt0016467","0","0"
"307","tt0016471","0","0"
"308","tt0016472","0","0"
"309","tt0016501","0","0"
"310","tt0016532","0","0"
"311","tt0016544","0","0"
"312","tt0016549","0","0"
"313","tt0016563","0","0"
"314","tt0016569","0","0"
"315","tt0016575","0","0"
"316","tt0016607","0","0"
"317","tt0016617","0","0"
"318","tt0016632","0","0"
"319","tt0016634","0","0"
"320","tt0016635","0","0"
"321","tt0016643","0","0"
"322","tt0016653","0","0"
"323","tt0016664","0","0"
"324","tt0016668","0","0"
"325","tt0016707","0","0"
"326","tt0016716","0","0"
"327","tt0016729","0","0"
"328","tt0016732","0","0"
"329","tt0016746","0","0"
"330","tt0016747","0","0"
"331","tt0016754","0","0"
"332","tt0016762","0","0"
"333","tt0016798","0","0"
"334","tt0016801","0","0"
"335","tt0016804","0","0"
"336","tt0016850","0","0"
"337","tt0016851","0","0"
"338","tt0016854","0","0"
"339","tt0016857","0","0"
"340","tt0016859","0","0"
"341","tt0016864","0","0"
"342","tt0016869","0","0"
"343","tt0016879","0","0"
"344","tt0016893","0","0"
"345","tt0016908","0","0"
"346","tt0016916","0","0"
"347","tt0016921","0","0"
"348","tt0016926","0","0"
"349","tt0016930","0","0"
"350","tt0016949","0","0"
"351","tt0016952","0","0"
"352","tt0016971","0","0"
"353","tt0016975","0","0"
"354","tt0016976","0","0"
"355","tt0016980","0","0"
"356","tt0016981","0","0"
"357","tt0016989","0","0"
"358","tt0017071","0","0"
"359","tt0017073","0","0"
"360","tt0017075","0","0"
"361","tt0017078","0","0"
"362","tt0017098","0","0"
"363","tt0017099","0","0"
"364","tt0017100","0","0"
"365","tt0017106","0","0"
"366","tt0017125","0","0"
"367","tt0017126","0","0"
"368","tt0017136","1","0"
"369","tt0017140","0","0"
"370","tt0017202","0","0"
"371","tt0017222","0","0"
"372","tt0017242","0","0"
"373","tt0017251","0","0"
"374","tt0017326","0","0"
"375","tt0017328","0","0"
"376","tt0017329","0","0"
"377","tt0017341","0","0"
"378","tt0017347","0","0"
"379","tt0017356","0","0"
"380","tt0017369","0","0"
"381","tt0017370","0","0"
"382","tt0017374","0","0"
"383","tt0017393","0","0"
"384","tt0017408","0","0"
"385","tt0017409","0","0"
"386","tt0017412","0","0"
"387","tt0017414","0","0"
"388","tt0017419","0","0"
"389","tt0017432","0","0"
"390","tt0017434","0","0"
"391","tt0017437","0","0"
"392","tt0017440","0","0"
"393","tt0017452","0","0"
"394","tt0017458","0","0"
"395","tt0017462","0","0"
"396","tt0017463","0","0"
"397","tt0017466","0","0"
"398","tt0017468","0","0"
"399","tt0017472","0","0"
"400","tt0017478","0","0"
"401","tt0017483","0","0"
"402","tt0017501","0","0"
"403","tt0017502","0","0"
"404","tt0017521","0","0"
"405","tt0017527","0","0"
"406","tt0017540","0","0"
"407","tt0017557","0","0"
"408","tt0017563","0","0"
"409","tt0017578","0","0"
"410","tt0017641","0","0"
"411","tt0017654","0","0"
"412","tt0017656","0","0"
"413","tt0017664","0","0"
"414","tt0017667","0","0"
"415","tt0017669","0","0"
"416","tt0017677","0","0"
"417","tt0017682","0","0"
"418","tt0017693","0","0"
"419","tt0017702","0","0"
"420","tt0017727","0","0"
"421","tt0017729","0","0"
"422","tt0017739","0","0"
"423","tt0017743","0","0"
"424","tt0017754","0","0"
"425","tt0017755","0","0"
"426","tt0017767","0","0"
"427","tt0017771","0","0"
"428","tt0017778","0","0"
"429","tt0017792","0","0"
"430","tt0017795","0","0"
"431","tt0017805","0","0"
"432","tt0017825","0","0"
"433","tt0017826","0","0"
"434","tt0017835","0","0"
"435","tt0017841","0","0"
"436","tt0017843","0","0"
"437","tt0017845","0","0"
"438","tt0017855","0","0"
"439","tt0017858","0","0"
"440","tt0017859","0","0"
"441","tt0017865","0","0"
"442","tt0017872","0","0"
"443","tt0017881","0","0"
"444","tt0017886","0","0"
"445","tt0017889","0","0"
"446","tt0017898","0","0"
"447","tt0017902","0","0"
"448","tt0017906","0","0"
"449","tt0017907","0","0"
"450","tt0017915","0","0"
"451","tt0017916","0","0"
"452","tt0017919","0","0"
"453","tt0017921","0","0"
"454","tt0017926","0","0"
"455","tt0017932","0","0"
"456","tt0017946","0","0"
"457","tt0017947","0","0"
"458","tt0017951","0","0"
"459","tt0017952","0","0"
"460","tt0017958","0","0"
"461","tt0017959","0","0"
"462","tt0017962","0","0"
"463","tt0017970","0","0"
"464","tt0017976","0","0"
"465","tt0017979","0","0"
"466","tt0018028","0","0"
"467","tt0018029","0","0"
"468","tt0018036","0","0"
"469","tt0018037","0","0"
"470","tt0018043","0","0"
"471","tt0018044","0","0"
"472","tt0018046","0","0"
"473","tt0018083","0","0"
"474","tt0018102","0","0"
"475","tt0018105","0","0"
"476","tt0018107","0","0"
"477","tt0018119","0","0"
"478","tt0018144","0","0"
"479","tt0018146","0","0"
"480","tt0018148","0","0"
"481","tt0018156","0","0"
"482","tt0018159","0","0"
"483","tt0018164","0","0"
"484","tt0018181","0","0"
"485","tt0018192","0","0"
"486","tt0018205","0","0"
"487","tt0018218","0","0"
"488","tt0018220","0","0"
"489","tt0018221","0","0"
"490","tt0018225","0","0"
"491","tt0018227","0","0"
"492","tt0018240","0","0"
"493","tt0018247","0","0"
"494","tt0018253","0","0"
"495","tt0018278","0","0"
"496","tt0018282","0","0"
"497","tt0018294","0","0"
"498","tt0018328","0","0"
"499","tt0018332","0","0"
"500","tt0018336","0","0"
"501","tt0018345","0","0"
"502","tt0018368","0","0"
"503","tt0018376","0","0"
"504","tt0018386","0","0"
"505","tt0018388","0","0"
"506","tt0018394","0","0"
"507","tt0018401","0","0"
"508","tt0018406","0","0"
"509","tt0018407","0","0"
"510","tt0018412","0","0"
"511","tt0018414","0","0"
"512","tt0018438","0","0"
"513","tt0018439","0","0"
"514","tt0018447","0","0"
"515","tt0018451","0","0"
"516","tt0018452","0","0"
"517","tt0018471","0","0"
"518","tt0018501","0","0"
"519","tt0018516","0","0"
"520","tt0018517","0","0"
"521","tt0018526","0","0"
"522","tt0018530","0","0"
"523","tt0018554","0","0"
"524","tt0018566","0","0"
"525","tt0018571","0","0"
"526","tt0018579","0","0"
"527","tt0018585","0","0"
"528","tt0018595","0","0"
"529","tt0018601","0","0"
"530","tt0018613","0","0"
"531","tt0018619","0","0"
"532","tt0018624","0","0"
"533","tt0018633","0","0"
"534","tt0018662","0","0"
"535","tt0018673","0","0"
"536","tt0018674","0","0"
"537","tt0018683","0","0"
"538","tt0018691","0","0"
"539","tt0018699","1","0"
"540","tt0018700","0","0"
"541","tt0018701","0","0"
"542","tt0018712","0","0"
"543","tt0018736","0","0"
"544","tt0018754","0","0"
"545","tt0018756","0","0"
"546","tt0018769","0","0"
"547","tt0018770","0","0"
"548","tt0018772","0","0"
"549","tt0018775","0","0"
"550","tt0018782","0","0"
"551","tt0018785","0","0"
"552","tt0018817","0","0"
"553","tt0018838","0","0"
"554","tt0018849","0","0"
"555","tt0018876","0","0"
"556","tt0018879","0","0"
"557","tt0018881","0","0"
"558","tt0018890","0","0"
"559","tt0018903","0","0"
"560","tt0018905","0","0"
"561","tt0018908","0","0"
"562","tt0018909","0","0"
"563","tt0018926","0","0"
"564","tt0018931","0","0"
"565","tt0018937","0","0"
"566","tt0018945","1","0"
"567","tt0018950","0","0"
"568","tt0018972","0","0"
"569","tt0018974","0","0"
"570","tt0018978","0","0"
"571","tt0018980","0","0"
"572","tt0018982","0","0"
"573","tt0019004","0","0"
"574","tt0019006","0","0"
"575","tt0019013","0","0"
"576","tt0019016","0","0"
"577","tt0019017","0","0"
"578","tt0019021","0","0"
"579","tt0019024","0","0"
"580","tt0019066","0","0"
"581","tt0019067","0","0"
"582","tt0019068","0","0"
"583","tt0019071","0","0"
"584","tt0019077","0","0"
"585","tt0019079","0","0"
"586","tt0019115","0","0"
"587","tt0019121","0","0"
"588","tt0019125","0","0"
"589","tt0019131","0","0"
"590","tt0019143","0","0"
"591","tt0019144","0","0"
"592","tt0019151","0","0"
"593","tt0019152","0","0"
"594","tt0019155","0","0"
"595","tt0019165","0","0"
"596","tt0019179","0","0"
"597","tt0019182","0","0"
"598","tt0019193","0","0"
"599","tt0019203","0","0"
"600","tt0019210","0","0"
"601","tt0019212","0","0"
"602","tt0019213","0","0"
"603","tt0019226","0","0"
"604","tt0019232","0","0"
"605","tt0019238","0","0"
"606","tt0019252","0","0"
"607","tt0019253","0","0"
"608","tt0019254","0","0"
"609","tt0019257","0","0"
"610","tt0019259","0","0"
"611","tt0019279","0","0"
"612","tt0019287","0","0"
"613","tt0019290","0","0"
"614","tt0019297","0","0"
"615","tt0019316","0","0"
"616","tt0019322","0","0"
"617","tt0019325","0","0"
"618","tt0019326","0","0"
"619","tt0019330","0","0"
"620","tt0019347","0","0"
"621","tt0019351","0","0"
"622","tt0019352","0","0"
"623","tt0019355","0","0"
"624","tt0019358","0","0"
"625","tt0019376","0","0"
"626","tt0019392","0","0"
"627","tt0019401","0","0"
"628","tt0019406","0","0"
"629","tt0019415","1","0"
"630","tt0019426","0","0"
"631","tt0019433","0","0"
"632","tt0019434","0","0"
"633","tt0019439","0","0"
"634","tt0019444","1","0"
"635","tt0019453","1","0"
"636","tt0019456","0","0"
"637","tt0019462","0","0"
"638","tt0019471","0","0"
"639","tt0019477","0","0"
"640","tt0019479","0","0"
"641","tt0019497","0","0"
"642","tt0019501","0","0"
"643","tt0019504","0","0"
"644","tt0019507","0","0"
"645","tt0019512","0","0"
"646","tt0019522","0","0"
"647","tt0019532","0","0"
"648","tt0019534","0","0"
"649","tt0019540","0","0"
"650","tt0019545","0","0"
"651","tt0019549","0","0"
"652","tt0019550","0","0"
"653","tt0019551","0","0"
"654","tt0019553","0","0"
"655","tt0019554","0","0"
"656","tt0019555","0","0"
"657","tt0019556","0","0"
"658","tt0019558","0","0"
"659","tt0019568","0","0"
"660","tt0019574","0","0"
"661","tt0019579","0","0"
"662","tt0019598","0","0"
"663","tt0019601","0","0"
"664","tt0019603","0","0"
"665","tt0019622","0","0"
"666","tt0019634","0","0"
"667","tt0019640","0","0"
"668","tt0019644","0","0"
"669","tt0019670","0","0"
"670","tt0019679","0","0"
"671","tt0019683","0","0"
"672","tt0019686","0","0"
"673","tt0019688","0","0"
"674","tt0019692","0","0"
"675","tt0019696","0","0"
"676","tt0019699","0","0"
"677","tt0019702","0","0"
"678","tt0019713","0","0"
"679","tt0019728","0","0"
"680","tt0019729","0","0"
"681","tt0019730","0","0"
"682","tt0019738","0","0"
"683","tt0019745","1","0"
"684","tt0019753","0","0"
"685","tt0019762","0","0"
"686","tt0019773","0","0"
"687","tt0019774","0","0"
"688","tt0019775","0","0"
"689","tt0019776","0","0"
"690","tt0019777","0","0"
"691","tt0019791","0","0"
"692","tt0019805","0","0"
"693","tt0019809","0","0"
"694","tt0019815","0","0"
"695","tt0019826","0","0"
"696","tt0019831","0","0"
"697","tt0019832","0","0"
"698","tt0019840","0","0"
"699","tt0019852","0","0"
"700","tt0019864","0","0"
"701","tt0019865","0","0"
"702","tt0019871","0.333333333333333","0.25"
"703","tt0019883","0","0"
"704","tt0019884","0","0"
"705","tt0019886","0","0"
"706","tt0019890","0","0"
"707","tt0019901","1","0"
"708","tt0019902","0","0"
"709","tt0019907","0","0"
"710","tt0019917","0","0"
"711","tt0019926","0","0"
"712","tt0019932","0","0"
"713","tt0019946","0","0"
"714","tt0019951","0","0"
"715","tt0019959","0","0"
"716","tt0019964","0","0"
"717","tt0019966","0","0"
"718","tt0019972","0","0"
"719","tt0019974","0","0"
"720","tt0019978","0","0"
"721","tt0019979","0","0"
"722","tt0019980","0","0"
"723","tt0019989","0","0"
"724","tt0019992","0","0"
"725","tt0019998","0","0"
"726","tt0019999","0","0"
"727","tt0020003","0","0"
"728","tt0020004","0","0"
"729","tt0020009","0","0"
"730","tt0020027","0","0"
"731","tt0020030","0","0"
"732","tt0020033","0","0"
"733","tt0020043","0","0"
"734","tt0020056","0","0"
"735","tt0020071","0","0"
"736","tt0020072","0","0"
"737","tt0020080","0","0"
"738","tt0020087","0","0"
"739","tt0020094","0","0"
"740","tt0020101","0","0"
"741","tt0020108","0","0"
"742","tt0020111","0","0"
"743","tt0020112","0","0"
"744","tt0020115","0","0"
"745","tt0020128","1","0"
"746","tt0020135","0","0"
"747","tt0020139","0","0"
"748","tt0020142","0","0"
"749","tt0020148","0","0"
"750","tt0020160","0","0"
"751","tt0020161","0","0"
"752","tt0020163","0","0"
"753","tt0020166","0","0"
"754","tt0020182","0","0"
"755","tt0020197","0","0"
"756","tt0020202","0","0"
"757","tt0020205","0","0"
"758","tt0020206","0","0"
"759","tt0020209","0","0"
"760","tt0020216","0","0"
"761","tt0020223","1","0"
"762","tt0020238","0","0"
"763","tt0020253","0","0"
"764","tt0020264","0","0"
"765","tt0020278","0","0"
"766","tt0020295","0","0"
"767","tt0020300","0","0"
"768","tt0020314","0","0"
"769","tt0020315","0","0"
"770","tt0020316","0","0"
"771","tt0020323","0","0"
"772","tt0020324","0","0"
"773","tt0020334","0","0"
"774","tt0020345","0","0"
"775","tt0020356","0","0"
"776","tt0020359","0","0"
"777","tt0020364","0","0"
"778","tt0020365","0","0"
"779","tt0020366","0","0"
"780","tt0020387","0","0"
"781","tt0020403","0","0"
"782","tt0020404","0","0"
"783","tt0020416","0","0"
"784","tt0020422","0","0"
"785","tt0020424","0","0"
"786","tt0020436","0","0"
"787","tt0020437","0","0"
"788","tt0020438","0","0"
"789","tt0020446","0","0"
"790","tt0020452","0","0"
"791","tt0020456","0","0"
"792","tt0020459","0","0"
"793","tt0020461","0","0"
"794","tt0020479","0","0"
"795","tt0020483","1","0"
"796","tt0020485","0","0"
"797","tt0020487","0","0"
"798","tt0020489","0","0"
"799","tt0020499","0","0"
"800","tt0020502","0","0"
"801","tt0020513","0","0"
"802","tt0020514","0","0"
"803","tt0020527","0","0"
"804","tt0020530","0","0"
"805","tt0020531","0","0"
"806","tt0020534","0","0"
"807","tt0020535","0","0"
"808","tt0020556","0","0"
"809","tt0020564","0","0"
"810","tt0020581","0","0"
"811","tt0020590","0","0"
"812","tt0020595","0","0"
"813","tt0020607","0","0"
"814","tt0020613","0","0"
"815","tt0020620","0","0"
"816","tt0020621","0","0"
"817","tt0020629","0","0"
"818","tt0020630","0","0"
"819","tt0020637","0","0"
"820","tt0020640","0.333333333333333","0.25"
"821","tt0020650","0","0"
"822","tt0020661","0","0"
"823","tt0020675","0","0"
"824","tt0020678","0","0"
"825","tt0020683","0","0"
"826","tt0020690","0","0"
"827","tt0020693","0","0"
"828","tt0020698","0","0"
"829","tt0020702","0","0"
"830","tt0020707","0","0"
"831","tt0020708","0","0"
"832","tt0020713","0","0"
"833","tt0020715","0","0"
"834","tt0020718","0","0"
"835","tt0020719","0","0"
"836","tt0020740","0","0"
"837","tt0020745","0","0"
"838","tt0020748","0","0"
"839","tt0020758","1","0"
"840","tt0020759","0","0"
"841","tt0020763","0","0"
"842","tt0020769","0","0"
"843","tt0020773","0","0"
"844","tt0020799","1","0"
"845","tt0020809","0","0"
"846","tt0020810","0","0"
"847","tt0020815","0","0"
"848","tt0020819","0","0"
"849","tt0020823","0","0"
"850","tt0020838","0","0"
"851","tt0020852","0","0"
"852","tt0020853","0","0"
"853","tt0020872","0","0"
"854","tt0020875","0","0"
"855","tt0020876","0","0"
"856","tt0020893","0","0"
"857","tt0020902","0","0"
"858","tt0020910","0","0"
"859","tt0020915","0","0"
"860","tt0020919","0","0"
"861","tt0020922","0","0"
"862","tt0020934","0","0"
"863","tt0020935","0","0"
"864","tt0020942","0","0"
"865","tt0020949","0","0"
"866","tt0020960","0","0"
"867","tt0020961","0","0"
"868","tt0020969","0","0"
"869","tt0020979","0","0"
"870","tt0020982","0","0"
"871","tt0020986","0","0"
"872","tt0020993","0","0"
"873","tt0021013","0","0"
"874","tt0021015","0","0"
"875","tt0021017","0","0"
"876","tt0021025","0","0"
"877","tt0021037","0","0"
"878","tt0021038","0","0"
"879","tt0021040","0","0"
"880","tt0021047","0","0"
"881","tt0021053","0","0"
"882","tt0021061","0","0"
"883","tt0021068","0","0"
"884","tt0021069","0","0"
"885","tt0021070","1","0"
"886","tt0021073","0","0"
"887","tt0021078","0","0"
"888","tt0021079","0","0"
"889","tt0021083","0","0"
"890","tt0021108","0","0"
"891","tt0021110","0","0"
"892","tt0021112","0","0"
"893","tt0021118","0","0"
"894","tt0021128","0","0"
"895","tt0021132","0","0"
"896","tt0021133","0","0"
"897","tt0021136","0","0"
"898","tt0021137","0","0"
"899","tt0021140","0","0"
"900","tt0021147","1","0"
"901","tt0021153","0","0"
"902","tt0021155","0","0"
"903","tt0021165","0","0"
"904","tt0021179","0","0"
"905","tt0021182","0","0"
"906","tt0021192","0","0"
"907","tt0021197","0","0"
"908","tt0021217","0","0"
"909","tt0021218","0","0"
"910","tt0021224","0","0"
"911","tt0021228","0","0"
"912","tt0021232","0","0"
"913","tt0021237","0","0"
"914","tt0021245","0","0"
"915","tt0021272","0","0"
"916","tt0021282","0","0"
"917","tt0021287","0","0"
"918","tt0021296","0","0"
"919","tt0021303","0","0"
"920","tt0021305","0","0"
"921","tt0021308","0","0"
"922","tt0021319","0","0"
"923","tt0021321","0","0"
"924","tt0021322","0","0"
"925","tt0021342","0","0"
"926","tt0021346","0","0"
"927","tt0021356","0","0"
"928","tt0021370","0","0"
"929","tt0021383","0","0"
"930","tt0021390","0","0"
"931","tt0021393","0","0"
"932","tt0021396","0","0"
"933","tt0021404","0","0"
"934","tt0021408","0","0"
"935","tt0021415","0","0"
"936","tt0021416","0","0"
"937","tt0021420","0","0"
"938","tt0021442","0","0"
"939","tt0021451","0","0"
"940","tt0021458","0","0"
"941","tt0021478","0","0"
"942","tt0021483","0","0"
"943","tt0021486","0.333333333333333","0.25"
"944","tt0021492","0","0"
"945","tt0021503","0","0"
"946","tt0021507","0","0"
"947","tt0021508","0","0"
"948","tt0021511","1","0"
"949","tt0021522","0","0"
"950","tt0021525","0","0"
"951","tt0021534","0","0"
"952","tt0021543","0","0"
"953","tt0021545","0","0"
"954","tt0021548","0","0"
"955","tt0021552","0","0"
"956","tt0021554","0","0"
"957","tt0021555","0","0"
"958","tt0021561","0","0"
"959","tt0021564","0","0"
"960","tt0021567","0","0"
"961","tt0021568","0","0"
"962","tt0021572","0","0"
"963","tt0021577","0","0"
"964","tt0021591","0","0"
"965","tt0021610","0","0"
"966","tt0021622","0","0"
"967","tt0021630","0","0"
"968","tt0021638","0","0"
"969","tt0021641","0","0"
"970","tt0021651","0","0"
"971","tt0021656","0","0"
"972","tt0021671","0","0"
"973","tt0021695","0","0"
"974","tt0021697","1","0"
"975","tt0021708","0","0"
"976","tt0021732","0","0"
"977","tt0021740","0","0"
"978","tt0021748","0","0"
"979","tt0021750","0","0"
"980","tt0021760","0","0"
"981","tt0021770","0","0"
"982","tt0021772","0","0"
"983","tt0021778","0","0"
"984","tt0021780","0","0"
"985","tt0021785","0","0"
"986","tt0021796","0","0"
"987","tt0021799","1","0"
"988","tt0021807","0","0"
"989","tt0021814","0","0"
"990","tt0021815","0","0"
"991","tt0021818","0","0"
"992","tt0021821","1","0"
"993","tt0021833","0","0"
"994","tt0021836","0","0"
"995","tt0021846","0","0"
